% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 19 2018, 15:58
% Dimension:          3
% Nodes:              4260
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-1.1000         0.0000         2.1000         0.012038
-1.1000         0.0000         2.1000         0.012037
-1.1000         0.0000         2.1000         0.012091
-1.1000         0.0000         2.1000         0.011895
-1.0980         0.045601       2.0515         0.012198
-1.0980         0.045601       2.0515         0.012030
-1.0980         -0.045590      2.0514         0.012141
-1.0980         -0.045590      2.0514         0.012136
-1.0976         -5.5077E-20    2.0280         0.012326
-1.0976         0.0000         2.0280         0.012303
-1.0976         -0.071999      2.1000         0.011944
-1.0976         0.071999       2.1000         0.011847
-1.0926         0.11746        2.0515         0.012016
-1.0926         -0.11745       2.0515         0.012078
-1.0924         0.045547       1.9797         0.012428
-1.0924         -0.045536      1.9796         0.012452
-1.0920         0.090945       2.0033         0.012340
-1.0920         0.090945       2.0033         0.012208
-1.0919         -0.090924      2.0032         0.012273
-1.0919         -0.090924      2.0032         0.012268
-1.0906         -1.5191E-17    1.9565         0.012683
-1.0906         0.0000         1.9565         0.012540
-1.0906         0.14354        2.1000         0.011852
-1.0906         -0.14354       2.1000         0.011910
-1.0836         0.16267        2.0034         0.012227
-1.0836         0.16267        2.0034         0.012310
-1.0836         -0.16265       2.0032         0.012249
-1.0836         -0.16265       2.0032         0.012245
-1.0832         0.090837       1.9316         0.012592
-1.0832         0.090837       1.9316         0.012592
-1.0832         -0.090816      1.9315         0.012665
-1.0832         -0.090816      1.9315         0.012609
-1.0826         0.18886        2.0516         0.012139
-1.0826         0.18886        2.0516         0.012055
-1.0826         -0.18885       2.0515         0.012082
-1.0826         -0.18885       2.0515         0.012078
-1.0822         0.045493       1.9083         0.012688
-1.0822         0.045493       1.9083         0.012688
-1.0822         -0.045482      1.9082         0.012850
-1.0822         -0.045482      1.9082         0.012833
-1.0819         0.13603        1.9553         0.012520
-1.0819         0.13603        1.9553         0.012520
