% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:13
% Dimension:          3
% Nodes:              14185
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         40.000         0.0000
-59.959         2.2140         40.000         0.0000
-59.959         -2.2140        40.000         0.0000
-59.837         4.4234         40.000         0.0000
-59.837         -4.4236        40.000         0.0000
-59.633         6.6284         40.000         0.0000
-59.633         -6.6286        40.000         0.0000
-59.342         8.8585         40.000         0.0000
-59.342         -8.8589        40.000         0.0000
-58.969         11.075         40.000         0.0000
-58.969         -11.075        40.000         0.0000
-58.513         13.277         40.000         0.0000
-58.512         -13.277        40.000         0.0000
-58.061         -0.96638       40.000         0.0000
-58.004         1.0527         40.000         0.0000
-57.979         -3.1782        40.000         0.0000
-57.974         15.461         40.000         0.0000
-57.974         -15.462        40.000         0.0000
-57.923         3.2644         40.000         0.0000
-57.816         -5.3855        40.000         0.0000
-57.759         5.4716         40.000         0.0000
-57.604         7.5056         40.000         0.0000
-57.559         -7.3990        40.000         0.0000
-57.354         17.622         40.000         0.0000
-57.354         -17.622        40.000         0.0000
-57.272         9.7288         40.000         0.0000
-57.227         -9.6223        40.000         0.0000
-56.857         11.938         40.000         0.0000
-56.812         -11.832        40.000         0.0000
-56.653         19.759         40.000         0.0000
-56.653         -19.760        40.000         0.0000
-56.460         -13.847        40.000         0.0000
-56.319         13.909         40.000         0.0000
-56.121         -1.9328        40.000         0.0000
-56.065         0.086342       40.000         0.0000
-56.009         2.1054         40.000         0.0000
-55.999         -4.1423        40.000         0.0000
-55.886         4.3149         40.000         0.0000
-55.881         -16.019        40.000         0.0000
-55.873         21.869         40.000         0.0000
-55.872         -21.870        40.000         0.0000
-55.742         -6.1558        40.000         0.0000
-55.740         16.081         40.000         0.0000
-55.731         6.3488         40.000         0.0000
-55.576         8.3828         40.000         0.0000
-55.485         -8.1694        40.000         0.0000
-55.221         -18.168        40.000         0.0000
-55.202         10.599         40.000         0.0000
-55.111         -10.386        40.000         0.0000
-55.079         18.230         40.000         0.0000
-55.014         23.946         40.000         0.0000
-55.014         -23.947        40.000         0.0000
-54.760         -12.401        40.000         0.0000
-54.664         12.570         40.000         0.0000
-54.461         20.229         40.000         0.0000
-54.447         -20.003        40.000         0.0000
-54.408         -14.416        40.000         0.0000
-54.182         -2.8991        40.000         0.0000
-54.126         14.541         40.000         0.0000
-54.125         -0.88004       40.000         0.0000
-54.078         25.992         40.000         0.0000
-54.078         -25.993        40.000         0.0000
-54.069         1.1391         40.000         0.0000
-54.013         3.1582         40.000         0.0000
-53.925         -4.9127        40.000         0.0000
-53.858         5.1921         40.000         0.0000
-53.788         -16.576        40.000         0.0000
-53.702         7.2261         40.000         0.0000
-53.668         -6.9262        40.000         0.0000
-53.641         22.323         40.000         0.0000
-53.628         -22.097        40.000         0.0000
-53.547         9.2600         40.000         0.0000
-53.506         16.701         40.000         0.0000
-53.411         -8.9397        40.000         0.0000
-53.066         28.000         40.000         0.0000
-53.065         -28.001        40.000         0.0000
-53.059         -10.955        40.000         0.0000
-53.015         -18.411        40.000         0.0000
-53.009         11.231         40.000         0.0000
-52.887         18.700         40.000         0.0000
-52.793         -1.8795        40.000         0.0000
-52.744         24.384         40.000         0.0000
-52.736         0.13961        40.000         0.0000
-52.731         -24.158        40.000         0.0000
-52.707         -12.970        40.000         0.0000
-52.680         2.1587         40.000         0.0000
-52.470         13.202         40.000         0.0000
-52.356         -14.985        40.000         0.0000
-52.268         20.699         40.000         0.0000
-52.242         -20.247        40.000         0.0000
-52.176         -3.6979        40.000         0.0000
-52.056         3.9069         40.000         0.0000
-51.980         29.968         40.000         0.0000
-51.979         -29.969        40.000         0.0000
-51.956         -26.053        40.000         0.0000
-51.932         15.172         40.000         0.0000
-51.919         -5.7114        40.000         0.0000
-51.916         9.9573         40.000         0.0000
-51.916         -9.6096        40.000         0.0000
-51.900         5.9408         40.000         0.0000
-51.745         7.9748         40.000         0.0000
-51.728         26.148         40.000         0.0000
-51.662         -7.7249        40.000         0.0000
-51.583         -16.820        40.000         0.0000
-51.565         -11.625        40.000         0.0000
-51.410         22.776         40.000         0.0000
-51.404         -0.85985       40.000         0.0000
-51.383         -22.324        40.000         0.0000
-51.378         11.928         40.000         0.0000
-51.347         1.1593         40.000         0.0000
-51.313         17.171         40.000         0.0000
-51.213         -13.640        40.000         0.0000
-50.907         -28.041        40.000         0.0000
-50.839         13.899         40.000         0.0000
-50.820         31.896         40.000         0.0000
-50.819         -31.897        40.000         0.0000
-50.810         -18.655        40.000         0.0000
-50.787         -2.6782        40.000         0.0000
-50.723         2.9074         40.000         0.0000
-50.695         19.170         40.000         0.0000
-50.679         28.136         40.000         0.0000
-50.609         -24.218        40.000         0.0000
-50.422         -10.279        40.000         0.0000
-50.394         24.540         40.000         0.0000
-50.285         10.655         40.000         0.0000
-50.171         -4.4966        40.000         0.0000
-50.168         -8.3947        40.000         0.0000
-50.145         -15.276        40.000         0.0000
-50.114         8.6721         40.000         0.0000
-50.098         4.6556         40.000         0.0000
-50.076         21.169         40.000         0.0000
-50.070         -12.294        40.000         0.0000
-50.036         -20.490        40.000         0.0000
-50.015         0.15979        40.000         0.0000
-49.943         6.6895         40.000         0.0000
-49.914         -6.5101        40.000         0.0000
-49.850         15.450         40.000         0.0000
-49.835         -26.113        40.000         0.0000
-49.784         -29.989        40.000         0.0000
-49.747         12.625         40.000         0.0000
-49.589         33.778         40.000         0.0000
-49.588         -33.779        40.000         0.0000
-49.556         30.084         40.000         0.0000
-49.398         -1.6586        40.000         0.0000
