% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:12
% Dimension:          3
% Nodes:              15376
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         8.9000         0.0000
-59.970         1.8831         8.9000         0.0000
-59.970         -1.8831        8.9000         0.0000
-59.882         3.7634         8.9000         0.0000
-59.882         -3.7635        8.9000         0.0000
-59.734         5.6409         8.9000         0.0000
-59.734         -5.6411        8.9000         0.0000
-59.517         7.6004         8.9000         0.0000
-59.517         -7.6007        8.9000         0.0000
-59.235         9.5507         8.9000         0.0000
-59.235         -9.5511        8.9000         0.0000
-58.889         11.492         8.9000         0.0000
-58.889         -11.492        8.9000         0.0000
-58.479         13.425         8.9000         0.0000
-58.479         -13.426        8.9000         0.0000
-58.338         -0.78441       8.9000         0.0000
-58.279         -2.6661        8.9000         0.0000
-58.161         -4.5451        8.9000         0.0000
-58.069         1.1049         8.9000         0.0000
-58.010         2.9865         8.9000         0.0000
-58.005         15.343         8.9000         0.0000
-58.005         -15.344        8.9000         0.0000
-57.950         -6.2730        8.9000         0.0000
-57.891         4.8654         8.9000         0.0000
-57.823         6.4478         8.9000         0.0000
-57.701         -8.2280        8.9000         0.0000
-57.574         8.4027         8.9000         0.0000
-57.468         17.245         8.9000         0.0000
-57.468         -17.246        8.9000         0.0000
-57.387         -10.174        8.9000         0.0000
-57.260         10.348         8.9000         0.0000
-57.059         -12.015        8.9000         0.0000
-56.867         19.134         8.9000         0.0000
-56.867         -19.134        8.9000         0.0000
-56.702         12.295         8.9000         0.0000
-56.677         -1.5688        8.9000         0.0000
-56.617         -13.941        8.9000         0.0000
-56.588         -3.4492        8.9000         0.0000
-56.407         0.32044        8.9000         0.0000
-56.377         -5.1770        8.9000         0.0000
-56.260         14.220         8.9000         0.0000
-56.205         21.000         8.9000         0.0000
-56.205         -21.001        8.9000         0.0000
-56.166         -6.9048        8.9000         0.0000
-56.137         2.2097         8.9000         0.0000
-56.111         -15.851        8.9000         0.0000
-56.049         4.0900         8.9000         0.0000
-55.980         5.6724         8.9000         0.0000
-55.912         7.2548         8.9000         0.0000
-55.885         -8.8552        8.9000         0.0000
-55.755         16.130         8.9000         0.0000
-55.630         9.2051         8.9000         0.0000
-55.556         -10.697        8.9000         0.0000
-55.520         -17.297        8.9000         0.0000
-55.481         22.844         8.9000         0.0000
-55.481         -22.845        8.9000         0.0000
-55.436         17.633         8.9000         0.0000
-55.228         -12.539        8.9000         0.0000
-55.073         11.151         8.9000         0.0000
-55.015         -2.3532        8.9000         0.0000
-54.888         -19.175        8.9000         0.0000
-54.805         19.510         8.9000         0.0000
-54.804         -4.0811        8.9000         0.0000
-54.754         -14.457        8.9000         0.0000
-54.745         -0.46398       8.9000         0.0000
-54.696         24.664         8.9000         0.0000
-54.696         -24.665        8.9000         0.0000
-54.593         -5.8089        8.9000         0.0000
-54.515         13.098         8.9000         0.0000
-54.476         1.4253         8.9000         0.0000
-54.382         -7.5367        8.9000         0.0000
-54.206         3.3146         8.9000         0.0000
-54.195         -21.030        8.9000         0.0000
-54.163         -15.903        8.9000         0.0000
-54.138         4.8969         8.9000         0.0000
-54.112         21.365         8.9000         0.0000
-54.069         6.4793         8.9000         0.0000
-54.054         -9.3784        8.9000         0.0000
-54.041         15.015         8.9000         0.0000
-54.001         8.0617         8.9000         0.0000
-53.853         26.455         8.9000         0.0000
-53.852         -26.456        8.9000         0.0000
-53.726         -11.220        8.9000         0.0000
-53.723         16.518         8.9000         0.0000
-53.590         -1.4926        8.9000         0.0000
-53.571         -17.348        8.9000         0.0000
-53.560         -22.912        8.9000         0.0000
-53.443         10.008         8.9000         0.0000
-53.405         18.020         8.9000         0.0000
-53.398         -13.062        8.9000         0.0000
-53.352         -3.0764        8.9000         0.0000
-53.320         0.39671        8.9000         0.0000
-53.141         -4.8042        8.9000         0.0000
-53.124         23.185         8.9000         0.0000
-53.050         2.2860         8.9000         0.0000
-53.046         -8.0058        8.9000         0.0000
-52.950         28.219         8.9000         0.0000
-52.949         -28.220        8.9000         0.0000
-52.930         -6.5320        8.9000         0.0000
-52.909         -19.215        8.9000         0.0000
-52.885         11.954         8.9000         0.0000
-52.806         -14.508        8.9000         0.0000
-52.745         -24.717        8.9000         0.0000
-52.742         19.886         8.9000         0.0000
-52.718         -9.8475        8.9000         0.0000
-52.390         -11.689        8.9000         0.0000
-52.328         8.7699         8.9000         0.0000
-52.328         13.900         8.9000         0.0000
-52.315         3.9100         8.9000         0.0000
-52.310         24.991         8.9000         0.0000
-52.274         -21.097        8.9000         0.0000
-52.247         5.4924         8.9000         0.0000
-52.215         -15.954        8.9000         0.0000
-52.178         7.0748         8.9000         0.0000
-52.164         -0.63188       8.9000         0.0000
-52.009         15.403         8.9000         0.0000
-51.992         29.947         8.9000         0.0000
-51.992         -29.948        8.9000         0.0000
-51.926         -2.2157        8.9000         0.0000
-51.895         1.2574         8.9000         0.0000
-51.872         -26.495        8.9000         0.0000
-51.770         10.716         8.9000         0.0000
-51.754         21.706         8.9000         0.0000
-51.710         -8.4749        8.9000         0.0000
-51.691         16.905         8.9000         0.0000
-51.688         -3.7995        8.9000         0.0000
-51.639         -22.978        8.9000         0.0000
-51.623         -17.400        8.9000         0.0000
-51.593         -7.0011        8.9000         0.0000
-51.477         -5.5273        8.9000         0.0000
